code,regency_code,coordinate,is_populated,is_outermost_small,name
210440047,2104,00°27'14.29" N 104°22'29.38" E,0,0,Pulau Banes
210440048,2104,00°27'37.94" N 104°23'32.82" E,0,0,Pulau Bansa
210440049,2104,00°01'06.12" S 104°29'39.55" E,0,0,Pulau Bantong Besar
210440050,2104,00°00'58.09" S 104°29'40.66" E,0,0,Pulau Bantong Kecik
210440051,2104,00°11'09.80" S 104°46'40.73" E,0,0,Pulau Bapak
210440052,2104,00°09'54.28" N 104°29'27.42" E,1,0,Pulau Baran Besar
210440053,2104,00°10'31.87" N 104°29'02.00" E,0,0,Pulau Baran Kecil
210440054,2104,00°20'56.81" N 104°22'29.06" E,0,0,Pulau Barat
210440055,2104,00°08'10.03" N 104°26'43.00" E,0,0,Pulau Barat
210440056,2104,00°11'33.60" S 104°47'34.66" E,0,0,Pulau Barok
210440057,2104,00°27'11.41" N 104°24'09.00" E,1,0,Pulau Baru
210440058,2104,00°16'59.99" S 104°22'58.40" E,1,0,Pulau Baruk
210440059,2104,00°16'34.93" S 104°22'43.75" E,0,0,Pulau Baruk Kecik
210440060,2104,00°15'13.86" N 104°30'01.00" E,1,0,Pulau Basing
210440061,2104,00°08'38.07" S 104°44'29.25" E,0,0,Pulau Basing
210440062,2104,00°16'03.00" S 104°29'36.60" E,0,0,Pulau Basingkelumu
210440063,2104,00°17'53.70" N 104°21'09.00" E,0,0,Pulau Batang Besar
210440064,2104,00°16'22.62" N 104°23'47.07" E,1,0,Pulau Batang Kecik
210440065,2104,00°16'03.00" N 104°24'23.83" E,0,0,Pulau Batang Kecik
210440066,2104,01°10'29.15" S 105°18'33.62" E,0,0,Pulau Batin Besar
210440067,2104,01°10'36.22" S 105°18'38.82" E,0,0,Pulau Batin Kecik
210440068,2104,00°39'35.19" S 104°13'46.50" E,0,0,Pulau Batu Bersongkok
210440069,2104,00°04'52.00" S 104°39'40.00" E,0,0,Pulau Batu Kokok
210440070,2104,00°20'06.79" N 104°18'09.59" E,0,0,Pulau Batubalok
210440071,2104,00°01'48.98" S 104°50'09.78" E,0,0,Pulau Batubedare
210440072,2104,00°24'51.41" N 104°15'54.23" E,0,0,Pulau Batubelayar
